valor_ipc,categoria_gasto,fecha_iso,indicador
92.331,IPC General,2015-02-01,IPC_Indice_Base_2021_INE
92.141,IPC General,2015-01-01,IPC_Indice_Base_2021_INE
93.646,IPC General,2014-12-01,IPC_Indice_Base_2021_INE
94.195,IPC General,2014-11-01,IPC_Indice_Base_2021_INE
94.261,IPC General,2014-10-01,IPC_Indice_Base_2021_INE
93.824,IPC General,2014-09-01,IPC_Indice_Base_2021_INE
93.681,IPC General,2014-08-01,IPC_Indice_Base_2021_INE
93.533,IPC General,2014-07-01,IPC_Indice_Base_2021_INE
94.421,IPC General,2014-06-01,IPC_Indice_Base_2021_INE
94.395,IPC General,2014-05-01,IPC_Indice_Base_2021_INE
94.373,IPC General,2014-04-01,IPC_Indice_Base_2021_INE
93.541,IPC General,2014-03-01,IPC_Indice_Base_2021_INE
93.333,IPC General,2014-02-01,IPC_Indice_Base_2021_INE
93.373,IPC General,2014-01-01,IPC_Indice_Base_2021_INE
94.632,IPC General,2013-12-01,IPC_Indice_Base_2021_INE
94.547,IPC General,2013-11-01,IPC_Indice_Base_2021_INE
94.351,IPC General,2013-10-01,IPC_Indice_Base_2021_INE
93.969,IPC General,2013-09-01,IPC_Indice_Base_2021_INE
94.145,IPC General,2013-08-01,IPC_Indice_Base_2021_INE
93.853,IPC General,2013-07-01,IPC_Indice_Base_2021_INE
94.34,IPC General,2013-06-01,IPC_Indice_Base_2021_INE
94.201,IPC General,2013-05-01,IPC_Indice_Base_2021_INE
94.028,IPC General,2013-04-01,IPC_Indice_Base_2021_INE
93.678,IPC General,2013-03-01,IPC_Indice_Base_2021_INE
93.349,IPC General,2013-02-01,IPC_Indice_Base_2021_INE
93.188,IPC General,2013-01-01,IPC_Indice_Base_2021_INE
94.394,IPC General,2012-12-01,IPC_Indice_Base_2021_INE
94.328,IPC General,2012-11-01,IPC_Indice_Base_2021_INE
94.445,IPC General,2012-10-01,IPC_Indice_Base_2021_INE
93.649,IPC General,2012-09-01,IPC_Indice_Base_2021_INE
92.736,IPC General,2012-08-01,IPC_Indice_Base_2021_INE
92.217,IPC General,2012-07-01,IPC_Indice_Base_2021_INE
92.433,IPC General,2012-06-01,IPC_Indice_Base_2021_INE
92.606,IPC General,2012-05-01,IPC_Indice_Base_2021_INE
92.743,IPC General,2012-04-01,IPC_Indice_Base_2021_INE
91.458,IPC General,2012-03-01,IPC_Indice_Base_2021_INE
90.847,IPC General,2012-02-01,IPC_Indice_Base_2021_INE
90.753,IPC General,2012-01-01,IPC_Indice_Base_2021_INE
91.762,IPC General,2011-12-01,IPC_Indice_Base_2021_INE
91.643,IPC General,2011-11-01,IPC_Indice_Base_2021_INE
91.273,IPC General,2011-10-01,IPC_Indice_Base_2021_INE
90.559,IPC General,2011-09-01,IPC_Indice_Base_2021_INE
90.338,IPC General,2011-08-01,IPC_Indice_Base_2021_INE
90.226,IPC General,2011-07-01,IPC_Indice_Base_2021_INE
90.713,IPC General,2011-06-01,IPC_Indice_Base_2021_INE
90.841,IPC General,2011-05-01,IPC_Indice_Base_2021_INE
90.871,IPC General,2011-04-01,IPC_Indice_Base_2021_INE
89.754,IPC General,2011-03-01,IPC_Indice_Base_2021_INE
89.088,IPC General,2011-02-01,IPC_Indice_Base_2021_INE
88.975,IPC General,2011-01-01,IPC_Indice_Base_2021_INE
89.631,IPC General,2010-12-01,IPC_Indice_Base_2021_INE
89.084,IPC General,2010-11-01,IPC_Indice_Base_2021_INE
88.603,IPC General,2010-10-01,IPC_Indice_Base_2021_INE
87.801,IPC General,2010-09-01,IPC_Indice_Base_2021_INE
87.74,IPC General,2010-08-01,IPC_Indice_Base_2021_INE
87.519,IPC General,2010-07-01,IPC_Indice_Base_2021_INE
87.913,IPC General,2010-06-01,IPC_Indice_Base_2021_INE
87.756,IPC General,2010-05-01,IPC_Indice_Base_2021_INE
87.562,IPC General,2010-04-01,IPC_Indice_Base_2021_INE
86.639,IPC General,2010-03-01,IPC_Indice_Base_2021_INE
86.001,IPC General,2010-02-01,IPC_Indice_Base_2021_INE
86.158,IPC General,2010-01-01,IPC_Indice_Base_2021_INE
87.031,IPC General,2009-12-01,IPC_Indice_Base_2021_INE
87.053,IPC General,2009-11-01,IPC_Indice_Base_2021_INE
86.584,IPC General,2009-10-01,IPC_Indice_Base_2021_INE
85.971,IPC General,2009-09-01,IPC_Indice_Base_2021_INE
86.174,IPC General,2009-08-01,IPC_Indice_Base_2021_INE
85.874,IPC General,2009-07-01,IPC_Indice_Base_2021_INE
86.614,IPC General,2009-06-01,IPC_Indice_Base_2021_INE
86.234,IPC General,2009-05-01,IPC_Indice_Base_2021_INE
86.264,IPC General,2009-04-01,IPC_Indice_Base_2021_INE
85.43,IPC General,2009-03-01,IPC_Indice_Base_2021_INE
85.29,IPC General,2009-02-01,IPC_Indice_Base_2021_INE
85.281,IPC General,2009-01-01,IPC_Indice_Base_2021_INE
86.345,IPC General,2008-12-01,IPC_Indice_Base_2021_INE
86.79,IPC General,2008-11-01,IPC_Indice_Base_2021_INE
87.16,IPC General,2008-10-01,IPC_Indice_Base_2021_INE
86.861,IPC General,2008-09-01,IPC_Indice_Base_2021_INE
86.879,IPC General,2008-08-01,IPC_Indice_Base_2021_INE
87.066,IPC General,2008-07-01,IPC_Indice_Base_2021_INE
87.486,IPC General,2008-06-01,IPC_Indice_Base_2021_INE
86.985,IPC General,2008-05-01,IPC_Indice_Base_2021_INE
86.402,IPC General,2008-04-01,IPC_Indice_Base_2021_INE
85.482,IPC General,2008-03-01,IPC_Indice_Base_2021_INE
84.73,IPC General,2008-02-01,IPC_Indice_Base_2021_INE
84.598,IPC General,2008-01-01,IPC_Indice_Base_2021_INE
85.125,IPC General,2007-12-01,IPC_Indice_Base_2021_INE
84.77,IPC General,2007-11-01,IPC_Indice_Base_2021_INE
84.167,IPC General,2007-10-01,IPC_Indice_Base_2021_INE
83.09,IPC General,2007-09-01,IPC_Indice_Base_2021_INE
82.818,IPC General,2007-08-01,IPC_Indice_Base_2021_INE
82.704,IPC General,2007-07-01,IPC_Indice_Base_2021_INE
83.311,IPC General,2007-06-01,IPC_Indice_Base_2021_INE
83.158,IPC General,2007-05-01,IPC_Indice_Base_2021_INE
82.93,IPC General,2007-04-01,IPC_Indice_Base_2021_INE
81.8,IPC General,2007-03-01,IPC_Indice_Base_2021_INE
81.184,IPC General,2007-02-01,IPC_Indice_Base_2021_INE
81.129,IPC General,2007-01-01,IPC_Indice_Base_2021_INE
81.678,IPC General,2006-12-01,IPC_Indice_Base_2021_INE
81.455,IPC General,2006-11-01,IPC_Indice_Base_2021_INE
